市区町丁,総合計,凶悪犯計,凶悪犯強盗,凶悪犯その他,粗暴犯計,粗暴犯凶器準備集合,粗暴犯暴行,粗暴犯傷害,粗暴犯脅迫,粗暴犯恐喝,侵入窃盗計,侵入窃盗金庫破り,侵入窃盗学校荒し,侵入窃盗事務所荒し,侵入窃盗出店荒し,侵入窃盗空き巣,侵入窃盗忍込み,侵入窃盗居空き,侵入窃盗その他,非侵入窃盗計,非侵入窃盗自動車盗,非侵入窃盗オートバイ盗,非侵入窃盗自転車盗,非侵入窃盗車上ねらい,非侵入窃盗自販機ねらい,非侵入窃盗工事場ねらい,非侵入窃盗すり,非侵入窃盗ひったくり,非侵入窃盗置引き,非侵入窃盗万引き,非侵入窃盗その他,その他計,その他詐欺,その他占有離脱物横領,その他その他知能犯,その他賭博,その他その他刑法犯
大田区中馬込３丁目,11,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,3,5,1,1,0,0,3
大田区西馬込１丁目,15,0,0,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,10,0,0,4,0,0,0,0,0,0,0,6,2,1,0,0,0,1
大田区西馬込２丁目,13,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,3,1,7,0,0,2,0,5
大田区北馬込１丁目,12,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,1,0,0,0,0,5,4,1,0,0,0,3
大田区北馬込２丁目,20,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,6,0,0,1,0,0,0,1,1,8,5,0,1,0,2
大田区中央１丁目,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1
大田区中央２丁目,9,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,4,0,0,3,0,0,0,0,0,0,0,1,3,1,0,0,0,2
大田区中央３丁目,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,13,0,0,0,0,0,0,0,3,4,2,0,0,0,2
大田区中央４丁目,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,0,0,0,0,1,3,3,3,0,0,0,0
大田区中央５丁目,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,4,1,0,0,0,3
大田区中央６丁目,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,0,0,0,0,0,0,0,2,3,1,0,0,0,2
大田区中央７丁目,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,1,1,2,2,0,0,0,0
大田区中央８丁目,24,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,13,0,1,10,0,0,0,0,0,0,0,2,9,3,0,0,0,6
大田区池上１丁目,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,4,1,0,0,0,0,0,1,0,3,2,0,0,0,1
大田区池上２丁目,8,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5,0,0,4,1,0,0,0,0,0,0,0,1,0,0,0,0,1
大田区池上３丁目,24,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,16,0,1,4,2,1,0,0,0,0,4,4,6,2,2,0,0,2
大田区池上４丁目,11,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,6,0,0,0,0,0,0,1,0,3,2,0,0,0,1
大田区池上５丁目,8,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,2,3,2,0,0,0,1
大田区池上６丁目,49,1,0,1,6,0,4,2,0,0,3,0,0,0,0,3,0,0,0,29,0,0,19,3,0,0,0,0,1,5,1,10,1,0,1,0,8
大田区池上７丁目,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,1,0,1,0,0,0,0,1,3,1,0,0,0,2
大田区池上８丁目,11,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,3,1,0,1,0,0,0,4,1,0,0,0,0,0,0
大田区平和の森公園,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
大田区ふるさとの浜辺公園,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
